pcmpistrm xmm,[mem],0	miss	57.88
rep stosq, count = 10000, misalign = 16	4233.98	miss
rep movsw, count = 100	57.26	miss
rep movsd, count = 10000, misalign = 16	2077.42	miss
cmpsq	7.23	miss
rep stosd, count = 1000	166.63	miss
cmpsw	7.15	miss
pcmpestrm xmm,xmm,0	miss	93.12
rep lodsq, count = 1000	1138.21	miss
cmpsb	7.03	miss
cmpsd	7.41	miss
repe scasw, count = 1000, misalign = 4	591.46	miss
repe scasw, count = 1000, misalign = 0	564.3	miss
stosd	1.85	miss
repe scasb, count = 100, misalign = 4	62.92	miss
pcmpistri xmm1,xmm1,3 / movd xmm1,ecx	32.5	miss
stosb	1.75	miss
rep lodsd, count = 1000	1011.04	miss
stosw	1.87	miss
stosq	1.92	miss
rep stosd, count = 100	56.95	miss
repe scasw, count = 100, misalign = 4	62.95	miss
rep lodsq, count = 10000	10477.05	miss
pcmpestri xmm1,xmm1,8 / movd xmm1,ecx	18.8	miss
repe scasw, count = 100, misalign = 0	62.94	miss
lodsq	1.67	miss
rep lodsw, count = 100	132.47	miss
repe cmpsd, count = 10000, misalign = 0	7783.67	miss
repe cmpsd, count = 100, misalign = 4	81.56	miss
lodsw	1.35	miss
rep stosq, count = 1000, misalign = 0	300.3	miss
pcmpestrm xmm,[mem],0	miss	94.23
rep stosq, count = 1000, misalign = 4	1660.98	miss
rep stosd, count = 10000	1844.13	miss
lodsb	1.29	miss
lodsd	1.46	miss
repe scasq, count = 10000, misalign = 0	5904.7	miss
repe cmpsw, count = 10000, misalign = 4	7886.68	miss
repe scasq, count = 10000, misalign = 4	10537.99	miss
