890.0	1.0	329.0
405.0	2.0	209.0
155.0	2.0	179.0
947.0	4.0	366.0
388.0	2.0	191.0
35.0	0	138.0
758.0	3.0	310.0
425.0	4.0	197.0
939.0	4.0	336.0
407.0	0	167.0
919.0	3.0	441.0
984.0	2.0	429.0
896.0	2.0	345.0
37.0	1.0	123.0
601.0	5.0	302.0
175.0	1.0	199.0
163.0	1.0	186.0
120.0	0	197.0
973.0	2.0	367.0
880.0	5.0	383.0
401.0	3.0	208.0
296.0	0	162.0
161.0	2.0	152.0
314.0	2.0	168.0
768.0	7.0	368.0
661.0	4.0	272.0
260.0	4.0	164.0
169.0	0	174.0
153.0	1.0	162.0
949.0	4.0	413.0
384.0	2.0	201.0
316.0	0	189.0
423.0	1.0	161.0
431.0	1.0	183.0
663.0	4.0	285.0
262.0	3.0	125.0
290.0	2.0	175.0
679.0	3.0	291.0
242.0	3.0	161.0
894.0	4.0	353.0
177.0	1.0	162.0
911.0	4.0	348.0
953.0	6.0	386.0
45.0	0	161.0
642.0	7.0	255.0
718.0	2.0	359.0
588.0	3.0	247.0
669.0	4.0	305.0
677.0	4.0	274.0
92.0	1.0	195.0
640.0	3.0	278.0
171.0	1.0	135.0
959.0	3.0	342.0
439.0	0	196.0
675.0	3.0	269.0
298.0	1.0	189.0
653.0	5.0	276.0
421.0	1.0	190.0
589.0	1.0	225.0
173.0	2.0	167.0
966.0	5.0	438.0
610.0	2.0	218.0
892.0	6.0	328.0
49.0	1.0	188.0
427.0	2.0	163.0
917.0	5.0	477.0
55.0	0	205.0
276.0	0	158.0
90.0	1.0	193.0
691.0	5.0	291.0
587.0	2.0	267.0
429.0	2.0	204.0
327.0	1.0	162.0
581.0	1.0	277.0
186.0	0	142.0
310.0	0	168.0
195.0	1.0	152.0
969.0	2.0	394.0
788.0	7.0	383.0
96.0	0	221.0
748.0	3.0	374.0
312.0	1.0	174.0
329.0	3.0	195.0
665.0	1.0	292.0
332.0	2.0	183.0
94.0	0	200.0
193.0	2.0	179.0
246.0	1.0	181.0
853.0	3.0	412.0
776.0	5.0	330.0
330.0	0	191.0
188.0	3.0	178.0
191.0	0	143.0
244.0	2.0	138.0
318.0	1.0	201.0
591.0	1.0	231.0
583.0	3.0	262.0
228.0	0	188.0
268.0	0	174.0
680.0	2.0	298.0
698.0	7.0	336.0
979.0	5.0	359.0
622.0	3.0	272.0
688.0	3.0	277.0
690.0	4.0	279.0
597.0	3.0	289.0
778.0	4.0	319.0
300.0	3.0	197.0
831.0	5.0	335.0
59.0	0	221.0
272.0	0	158.0
686.0	3.0	313.0
891.0	6.0	323.0
567.0	3.0	297.0
833.0	6.0	427.0
306.0	0	157.0
270.0	1.0	149.0
920.0	6.0	388.0
835.0	4.0	414.0
684.0	2.0	379.0
57.0	1.0	173.0
565.0	5.0	254.0
304.0	1.0	155.0
658.0	3.0	268.0
585.0	3.0	299.0
308.0	0	151.0
338.0	0	190.0
180.0	1.0	175.0
199.0	2.0	164.0
67.0	1.0	193.0
847.0	2.0	361.0
349.0	2.0	203.0
941.0	4.0	357.0
569.0	8.0	264.0
321.0	2.0	152.0
182.0	1.0	150.0
341.0	2.0	173.0
754.0	2.0	343.0
336.0	3.0	178.0
573.0	0	243.0
339.0	1.0	170.0
323.0	0	145.0
860.0	2.0	343.0
837.0	2.0	374.0
325.0	0	163.0
696.0	2.0	322.0
334.0	6.0	195.0
184.0	2.0	177.0
813.0	2.0	340.0
197.0	1.0	153.0
607.0	2.0	248.0
575.0	3.0	249.0
266.0	1.0	187.0
593.0	2.0	240.0
811.0	4.0	309.0
363.0	2.0	186.0
682.0	4.0	337.0
577.0	5.0	246.0
756.0	4.0	303.0
71.0	0	185.0
962.0	4.0	396.0
814.0	9.0	343.0
807.0	2.0	329.0
957.0	6.0	359.0
41.0	1.0	167.0
532.0	3.0	249.0
721.0	6.0	316.0
353.0	3.0	166.0
824.0	7.0	305.0
563.0	4.0	246.0
955.0	1.0	373.0
43.0	0	166.0
857.0	5.0	309.0
918.0	5.0	465.0
258.0	1.0	150.0
63.0	0	204.0
561.0	3.0	206.0
302.0	0	172.0
855.0	6.0	350.0
61.0	1.0	178.0
772.0	6.0	302.0
68.0	1.0	171.0
801.0	2.0	395.0
817.0	4.0	421.0
750.0	8.0	431.0
134.0	3.0	184.0
0.0	0	4.0
53.0	2.0	187.0
200.0	1.0	164.0
347.0	3.0	184.0
745.0	2.0	315.0
555.0	5.0	244.0
845.0	5.0	340.0
206.0	0	155.0
546.0	3.0	216.0
51.0	0	186.0
826.0	3.0	322.0
929.0	5.0	391.0
345.0	0	174.0
5.0	1.0	131.0
851.0	3.0	414.0
343.0	2.0	173.0
365.0	1.0	200.0
803.0	2.0	420.0
248.0	2.0	165.0
571.0	4.0	251.0
75.0	3.0	212.0
819.0	3.0	419.0
240.0	2.0	133.0
579.0	6.0	223.0
790.0	3.0	365.0
367.0	2.0	181.0
841.0	3.0	356.0
951.0	9.0	442.0
47.0	1.0	181.0
548.0	1.0	283.0
538.0	3.0	221.0
77.0	0	210.0
359.0	1.0	176.0
740.0	4.0	312.0
204.0	1.0	174.0
355.0	2.0	179.0
877.0	8.0	363.0
489.0	2.0	185.0
224.0	0	144.0
278.0	1.0	151.0
514.0	1.0	231.0
375.0	1.0	174.0
534.0	1.0	250.0
357.0	0	166.0
789.0	2.0	302.0
226.0	3.0	181.0
746.0	1.0	334.0
460.0	3.0	205.0
536.0	2.0	246.0
749.0	3.0	368.0
928.0	4.0	326.0
530.0	3.0	239.0
843.0	2.0	318.0
208.0	1.0	162.0
351.0	1.0	176.0
512.0	3.0	206.0
710.0	0	272.0
764.0	3.0	305.0
130.0	0	172.0
879.0	3.0	357.0
274.0	0	185.0
510.0	1.0	224.0
712.0	4.0	300.0
373.0	1.0	167.0
361.0	0	168.0
132.0	0	178.0
202.0	0	181.0
540.0	2.0	214.0
112.0	1.0	198.0
559.0	3.0	231.0
863.0	1.0	330.0
528.0	0	224.0
542.0	4.0	186.0
12.0	0	116.0
520.0	2.0	250.0
553.0	4.0	245.0
6.0	0	124.0
762.0	3.0	330.0
250.0	1.0	162.0
220.0	2.0	155.0
869.0	8.0	385.0
10.0	0	140.0
369.0	1.0	182.0
80.0	0	196.0
544.0	2.0	221.0
