0.0	4
1.0	684
2.0	245
3.0	138
4.0	136
5.0	131
6.0	124
7.0	142
8.0	122
9.0	140
10.0	140
11.0	130
12.0	116
13.0	102
14.0	104
15.0	109
16.0	120
17.0	110
18.0	99
19.0	102
20.0	90
21.0	109
22.0	109
23.0	104
24.0	115
25.0	129
26.0	119
27.0	106
28.0	112
29.0	112
30.0	130
31.0	123
32.0	114
33.0	134
34.0	144
35.0	138
36.0	124
37.0	123
38.0	150
39.0	161
40.0	162
41.0	167
42.0	178
43.0	166
44.0	179
45.0	161
46.0	180
47.0	181
48.0	179
49.0	188
50.0	193
51.0	186
52.0	167
53.0	187
54.0	179
55.0	205
56.0	180
57.0	173
58.0	186
59.0	221
60.0	201
61.0	178
62.0	201
63.0	204
64.0	191
65.0	185
66.0	203
67.0	193
68.0	171
69.0	199
70.0	205
71.0	185
72.0	173
73.0	213
74.0	185
75.0	212
76.0	187
77.0	210
78.0	201
79.0	188
80.0	196
81.0	210
82.0	203
83.0	201
84.0	208
85.0	198
86.0	199
87.0	197
88.0	195
89.0	196
90.0	193
91.0	190
92.0	195
93.0	192
94.0	200
95.0	194
96.0	221
97.0	198
98.0	224
99.0	205
100.0	198
101.0	195
102.0	214
103.0	182
104.0	198
105.0	195
106.0	233
107.0	196
108.0	185
109.0	163
110.0	173
111.0	175
112.0	198
113.0	191
114.0	195
115.0	192
116.0	205
117.0	200
118.0	171
119.0	201
120.0	197
121.0	172
122.0	179
123.0	173
124.0	174
125.0	159
126.0	174
127.0	171
128.0	199
129.0	177
130.0	172
131.0	183
132.0	178
133.0	180
134.0	184
135.0	169
136.0	185
137.0	162
138.0	170
139.0	168
140.0	181
141.0	165
142.0	184
143.0	163
144.0	193
145.0	176
146.0	152
147.0	194
148.0	173
149.0	187
150.0	175
151.0	203
152.0	161
153.0	162
154.0	171
155.0	179
156.0	175
157.0	162
158.0	164
159.0	165
160.0	169
161.0	152
162.0	180
163.0	186
164.0	169
165.0	144
166.0	177
167.0	141
168.0	172
169.0	174
170.0	157
171.0	135
172.0	171
173.0	167
174.0	154
175.0	199
176.0	158
177.0	162
178.0	166
179.0	165
180.0	175
181.0	143
182.0	150
183.0	171
184.0	177
185.0	146
186.0	142
187.0	150
188.0	178
189.0	151
190.0	185
191.0	143
192.0	158
193.0	179
194.0	163
195.0	152
196.0	181
197.0	153
198.0	162
199.0	164
200.0	164
201.0	187
202.0	181
203.0	153
204.0	174
205.0	134
206.0	155
207.0	135
208.0	162
209.0	155
210.0	159
211.0	146
212.0	170
213.0	168
214.0	151
215.0	218
216.0	176
217.0	166
218.0	163
219.0	150
220.0	155
221.0	139
222.0	167
223.0	147
224.0	144
225.0	145
226.0	181
227.0	147
228.0	188
229.0	137
230.0	164
231.0	167
232.0	154
233.0	158
234.0	165
235.0	156
236.0	168
237.0	165
238.0	149
239.0	142
240.0	133
241.0	152
242.0	161
243.0	152
244.0	138
245.0	155
246.0	181
247.0	163
248.0	165
249.0	163
250.0	162
251.0	172
252.0	157
253.0	149
254.0	163
255.0	146
256.0	156
257.0	141
258.0	150
259.0	168
260.0	164
261.0	159
262.0	125
263.0	163
264.0	167
265.0	173
266.0	187
267.0	170
268.0	174
269.0	162
270.0	149
271.0	162
272.0	158
273.0	162
274.0	185
275.0	156
276.0	158
277.0	135
278.0	151
279.0	156
280.0	177
281.0	134
282.0	159
283.0	151
284.0	171
285.0	183
286.0	188
287.0	153
288.0	171
289.0	143
290.0	175
291.0	156
292.0	182
293.0	141
294.0	150
295.0	175
296.0	162
297.0	175
298.0	189
299.0	176
300.0	197
301.0	193
302.0	172
303.0	180
304.0	155
305.0	176
306.0	157
307.0	158
308.0	151
309.0	187
310.0	168
311.0	178
312.0	174
313.0	206
314.0	168
315.0	181
316.0	189
317.0	184
318.0	201
319.0	163
320.0	152
321.0	152
322.0	162
323.0	145
324.0	160
325.0	163
326.0	165
327.0	162
328.0	189
329.0	195
330.0	191
331.0	213
332.0	183
333.0	202
334.0	195
335.0	170
336.0	178
337.0	170
338.0	190
339.0	170
